cytokine;value.median;value.percentile.0;value.percentile.100;ga.week.median;condition;n;age.mean;age.sd;bmi.mean;bmi.sd;gabirth.weeks.mean;gabirth.weeks.sd;birthweight.mean;birthweight.sd;tissue;method
IL_1ra;96.17;0.00;401.30;7;small-for-gestational-age;6;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_4;1.77;0.00;4.24;7;small-for-gestational-age;6;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_5;1.34;0.14;5.15;7;small-for-gestational-age;6;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_6;7.68;0.00;12.75;7;small-for-gestational-age;6;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_9;3.84;0.00;413.80;7;small-for-gestational-age;6;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_10;0;;;7;small-for-gestational-age;6;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_13;0.52;0.00;2.74;7;small-for-gestational-age;6;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
G_CSF;16.05;10.10;31.37;7;small-for-gestational-age;6;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
PDGF_BB;1279;362.00;2842.00;7;small-for-gestational-age;6;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_8;0;0.00;9.28;7;small-for-gestational-age;6;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
eotaxin;68.58;0.00;80.50;7;small-for-gestational-age;6;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
MIP_1a;2.7;0.00;6.32;7;small-for-gestational-age;6;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
MIP_1b;21.44;0.00;38.49;7;small-for-gestational-age;6;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
MCP_1;0;;;7;small-for-gestational-age;6;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
RANTES;190;67.00;265.00;7;small-for-gestational-age;6;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_1b;2.07;0.00;12.67;8;small-for-gestational-age;20;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_2;0;0.00;43.47;8;small-for-gestational-age;20;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_7;9.74;1.60;43.12;8;small-for-gestational-age;20;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_12p70;0;0.00;11.20;8;small-for-gestational-age;20;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IFN_g;165.34;37.80;502.00;8;small-for-gestational-age;20;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
TNF_a;0;0.00;27.84;8;small-for-gestational-age;20;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_1ra;151.22;0.00;681.00;8;small-for-gestational-age;20;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_4;2.23;0.28;6.29;8;small-for-gestational-age;20;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_5;0.94;0.00;2.72;8;small-for-gestational-age;20;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_6;6.3;1.97;62.14;8;small-for-gestational-age;20;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_9;4.85;0.00;137.30;8;small-for-gestational-age;20;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_10;0;0.00;61.54;8;small-for-gestational-age;20;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_13;0;0.00;12.26;8;small-for-gestational-age;20;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
G_CSF;20.23;6.18;37.76;8;small-for-gestational-age;20;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
PDGF_BB;1638;578.00;3231.00;8;small-for-gestational-age;20;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_8;0;0.00;19.20;8;small-for-gestational-age;20;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
eotaxin;84.23;0.00;185.60;8;small-for-gestational-age;20;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
MIP_1a;2.5;0.00;6.96;8;small-for-gestational-age;20;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
MIP_1b;13.95;0.00;45.11;8;small-for-gestational-age;20;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
